median_house_value,median_income
55445.16129032258,1.6812
70754.83870967742,2.5313
381945.32258064515,3.4801
248993.5483870968,5.7376
254200.0,3.725
164941.93548387097,4.7147
223570.96774193548,5.0839
178793.5483870968,3.6908
255696.83870967742,4.8036
416771.1935483871,8.1132
112432.25806451614,2.5417
214845.16129032258,3.0
190325.8064516129,2.8594
208648.38709677418,3.3409
254003.2258064516,5.3668
201248.38709677418,3.8201
188716.12903225806,3.9063
144996.7741935484,4.1346
172180.64516129033,3.8233
87170.96774193548,2.1875
272974.1935483871,4.2297
315883.9032258064,4.3667
136925.8064516129,5.3478
335612.9032258064,6.1323
183758.06451612903,4.2234
53912.903225806454,1.9602
200232.25806451612,2.5504
104696.7741935484,3.25
144916.12903225806,3.65
364648.48387096776,6.2028
97006.45161290323,1.6196
240219.38709677418,1.23
190419.35483870967,3.4286
382816.1935483871,7.1108
283100.0,3.4919
287483.9032258064,5.5061
258596.7741935484,4.375
188364.51612903227,3.4115
137145.16129032258,3.0917
178951.61290322582,2.7321
291722.6451612903,6.6073
97025.80645161291,3.7917
110851.6129032258,2.2679
194554.83870967742,3.4679
138493.5483870968,3.9336
209312.90322580645,3.0221
168877.4193548387,3.5096
168300.0,3.0875
228770.96774193548,2.7451
103861.29032258065,3.2216
245296.7741935484,4.5
205658.06451612903,2.6036
162993.5483870968,3.4286
81845.16129032258,1.5917
184441.93548387097,2.7880000000000003
139300.0,5.4337
91187.09677419355,2.0388
219283.87096774194,5.0758
191319.38709677418,4.5987
211112.90322580645,5.5563
249722.61290322582,4.2287
228100.0,2.8793
103490.32258064517,2.6343
102709.67741935483,2.9485
291112.9032258064,6.2473
197041.93548387097,3.5518
161870.96774193548,2.7457
146280.64516129033,4.0767
220680.64516129033,1.2254
197248.38709677418,2.475
112851.6129032258,3.5962
214251.61290322582,4.7933
84854.83870967742,3.5417
180041.93548387097,4.105
216251.61290322582,3.4698
221664.51612903227,3.7813
345535.48387096776,6.1064
208587.09677419355,4.0167
182464.51612903227,4.0926
213903.2258064516,2.2794
87051.6129032258,2.4281
181177.4193548387,2.5
173309.67741935485,1.7016
201835.48387096773,1.7038
402490.5806451613,6.9135
237941.96774193548,5.6874
87896.7741935484,1.9906
71725.80645161291,1.6563
188203.2258064516,1.6953
208229.03225806452,2.7539999999999996
130496.7741935484,3.1053
247141.93548387097,3.6682
117100.0,1.8696
52600.0,1.4577
104319.35483870968,2.6471
122283.87096774194,2.8347
351090.3548387097,3.5435
156151.61290322582,1.3071
178687.09677419355,2.9330000000000003
170025.8064516129,3.4193
127467.74193548386,3.0598
376345.22580645164,9.6986
243177.51612903227,4.425
299190.3548387097,6.6272
218154.87096774194,3.7328
181987.09677419355,3.055
179096.7741935484,1.8576
306183.87096774194,4.8958
243100.0,3.6292
80593.54838709677,2.1779
147803.2258064516,2.5762
215909.67741935485,4.2891
310277.5806451613,10.0263
353942.1612903226,7.8532
114567.74193548386,3.2404
253529.03225806452,3.0694
201064.5483870968,3.6389
231529.03225806452,4.1429
247103.2258064516,4.875
227000.0,5.1762
180493.5483870968,3.1662
194096.7741935484,3.775
280751.6129032258,4.7813
192529.03225806452,1.676
145574.1935483871,3.0192
74919.35483870968,2.5234
119045.16129032258,1.6675
205425.8064516129,2.7139
231006.4516129032,3.3545
99183.87096774194,3.625
279719.3870967742,5.8891
450600.6451612903,15.0001
283880.6451612903,4.3859
80803.2258064516,2.3382
198835.48387096773,3.4019999999999997
125145.16129032258,3.3672
196903.2258064516,4.375
234387.09677419355,3.1364
222887.09677419355,4.3125
262167.77419354836,5.1033
167764.51612903227,1.9045
149129.03225806452,2.6973
181093.5483870968,2.4135
199332.25806451612,2.5658
373961.48387096776,8.176
157232.25806451612,2.0087
371777.51612903224,6.358
215593.5483870968,2.2167
106341.93548387097,2.1419
83774.19354838709,2.2917
199016.12903225806,1.5972
153351.61290322582,3.1827
182783.87096774194,4.2917
171193.5483870968,2.2596
240164.51612903227,3.1977
293345.1935483871,6.4114
197435.48387096773,4.2708
242661.29032258064,5.6163
91093.54838709677,1.9135
106606.45161290323,1.5427
220961.29032258064,6.2152
218206.4516129032,3.3512
398577.77419354836,8.1125
172996.7741935484,1.3897
85712.90322580645,2.1875
256967.7741935484,5.5073
204851.61290322582,2.7
80177.41935483871,3.0156
209080.64516129033,3.1106
237129.03225806452,5.34
308767.8064516129,5.6427
177416.12903225806,3.0726
267177.4193548387,6.2079
312667.8387096774,6.2871
58600.0,1.7566
73732.25806451614,1.7083
110009.67741935483,1.8942
102651.6129032258,2.7663
165551.61290322582,4.712
79903.2258064516,2.3006
315980.7419354839,6.7061
317312.96774193546,6.8773
164664.51612903227,3.4659
280780.6451612903,4.6328
61280.645161290326,1.4913
119432.25806451614,0.8527
193251.61290322582,3.2413
245838.70967741936,2.2708
423122.96774193546,8.6155
269158.06451612903,3.5486
157280.64516129033,3.2798
240332.25806451612,4.9489
140909.67741935485,2.5625
219716.12903225806,3.1654
144948.38709677418,3.2321
71151.6129032258,2.8365
190480.64516129033,4.0789
86541.93548387097,3.0673
473629.8387096774,11.2979
118419.35483870968,2.3333
264038.70967741933,3.0546
398890.5806451613,9.802
273245.1612903226,5.795
192409.67741935485,5.5138
188141.93548387097,4.3047
230174.1935483871,2.9688
104535.48387096774,0.9336
124574.19354838709,1.6607
199483.87096774194,4.6
197187.09677419355,2.7587
116993.54838709677,2.2969
492526.6451612903,12.3292
233393.5483870968,5.3169
269280.6451612903,6.5338
117780.64516129032,2.1411
181909.67741935485,2.3654
204080.64516129033,2.3913
65729.03225806452,1.9342
238848.38709677418,3.5045
137251.61290322582,2.148
134138.74193548388,2.7457
147738.70967741936,4.3214
274745.1612903226,4.2212
145103.2258064516,4.0481
92648.3870967742,1.9213
140677.4193548387,1.6033
293780.6451612903,4.7986
97229.03225806452,2.6111
255296.7741935484,5.0686
245825.83870967742,4.1806
287306.4516129032,4.45
259238.70967741936,3.2708
188409.67741935485,1.6851
317558.0967741936,4.445
125509.67741935483,2.4273
78167.74193548386,2.2333
414351.87096774194,7.7743
485797.51612903224,9.3399
155487.09677419355,2.875
289929.06451612903,5.0299
234716.12903225806,3.7826
104200.0,2.6895
213764.51612903227,3.1042
119977.41935483871,1.9327
161029.03225806452,1.4803
241438.74193548388,4.675
225461.29032258064,5.1386
240080.64516129033,5.3441
224380.70967741936,5.25
145745.16129032258,4.4489
94025.80645161291,2.4167
232925.8064516129,3.8846
180683.87096774194,3.2279
121770.96774193548,3.6118
75819.35483870968,1.6557
239993.5483870968,5.2206
210735.48387096773,2.4612
135629.03225806452,3.8531
119925.80645161291,0.9298
145954.83870967742,2.7006
226190.32258064515,5.0286
243874.1935483871,3.9038
368977.4516129032,7.1754
175700.0,4.1292
71803.2258064516,2.6062
326574.22580645164,5.222
117651.6129032258,2.2917
262393.6451612903,3.2292
349619.3870967742,7.472
116974.19354838709,2.7002
499955.8064516129,15.0001
163100.0,3.3333
191016.12903225806,3.25
182183.87096774194,3.5859
197870.96774193548,1.7179
164329.03225806452,1.7675
217458.06451612903,5.2957
147719.35483870967,3.5
110238.70967741935,2.1764
170561.29032258064,5.5136
188358.06451612903,2.9167
225416.16129032258,4.2917
129858.06451612903,3.175
131122.5806451613,2.9432
196409.74193548388,3.2121
416142.2580645161,7.3004
325019.3548387097,7.2639
136103.2258064516,4.4042
255545.16129032258,5.9145
450013.32258064515,8.8281
195919.35483870967,3.7454
104612.90322580645,3.0882
175487.09677419355,3.2308
220612.93548387097,1.8929
206609.67741935485,2.5428
90725.80645161291,2.2961
262345.2580645161,3.5985
64177.41935483871,1.3654
228748.38709677418,5.2937
174661.29032258064,4.5224
104929.03225806452,1.1917
69480.64516129032,2.0474
439506.70967741933,6.6494
121748.3870967742,2.9318
99016.12903225806,2.5
427287.29032258067,7.4787
249764.51612903227,2.2552
65035.48387096774,1.8125
250574.1935483871,7.7751
177796.7741935484,3.4856
179609.67741935485,2.625
252687.1935483871,1.0
231738.74193548388,4.575
308229.03225806454,4.8105
499955.8064516129,13.8556
168048.38709677418,3.2857
72538.70967741935,2.5833
147716.12903225806,4.084
161825.8064516129,4.4762
293374.22580645164,6.9931
241203.2258064516,4.4597
264083.87096774194,4.69
207380.64516129033,2.2095
415716.48387096776,9.2175
197135.48387096773,5.5164
166248.38709677418,2.6364
194893.5483870968,5.3678
103932.25806451614,2.3977
117793.54838709677,4.0313
174903.2258064516,3.0577
119293.54838709677,2.9083
245771.03225806452,3.1563
296603.22580645164,5.1207
195700.0,3.6696
73458.06451612903,2.6726
287141.96774193546,6.5006
124658.06451612903,1.8856
69509.67741935483,1.4828
72948.35483870968,1.0801
417945.3870967742,8.8467
236725.8064516129,5.7512
75019.35483870968,1.9939
76758.06451612903,2.0
194022.5806451613,4.0658
215451.61290322582,3.5
97064.51612903226,2.7955
349009.67741935485,5.8783
311487.0967741936,5.3261
486887.9032258064,11.3074
208719.35483870967,3.5541
201761.32258064515,1.9811
168551.61290322582,2.9076
126551.6129032258,1.2273
118235.48387096774,2.3062
282041.96774193546,4.875
205677.4193548387,2.5417
82200.0,2.2574
206870.96774193548,4.6696
292390.32258064515,5.0784
